일련번호,도구분,지점코드,지점명,위도,경도,고도,설치주소,관측 시작일
183,제주특별자치도,695907A001,제주시 월각로,33.37691,126.32979,308,제주특별자치도 제주시 애월읍 월각로 563-20,2013-08-24
184,제주특별자치도,695909B001,제주시 상귀길,33.45941,126.40391,102,제주특별자치도 제주시 애월읍 상귀길 173,2013-11-30
185,제주특별자치도,695923A001,제주시 한림읍,33.35316,126.24862,75,제주특별자치도 제주시 한림읍 월림7길 90,2013-11-29
186,제주특별자치도,695971A001,제주시 김녕리,33.5502,126.75055,36,제주특별자치도 제주시 구좌읍 김녕남6길 8,2013-08-24
187,제주특별자치도,699946A001,서귀포 하례리,33.28899,126.61167,142,제주시 서귀포 남원읍 하례리 15591-14,2013-11-29
188,충청남도,031004A002,천안시 성환읍,36.95993,127.13006,9.9,충남 천안시 서북구 성환읍 안궁리 424,2016-11-28
189,충청남도,031027F019,천안시 입장면,36.92369,127.21226,43,충남 천안시 서북구 입장면 유리 339,2017-11-24
190,충청남도,032528A001,공주시 우성면,36.4934,127.09924,46,충청남도 공주시 우성면 내산목천길 52-15,2015-12-13
191,충청남도,312831A001,금산군 금성면,36.12584,127.49408,168,충남 금산군 금성면 의총길 90,2010-09-08
192,충청남도,320862A001,논산시 광석면,36.22795,127.0856,31,충남 논산시 광석면 이사리 389-1,2012-08-14
193,충청남도,321916A001,계룡시 두마면,36.26169,127.27726,148,충청남도 계룡시 두마면 사계로 177,2011-06-30
194,충청남도,323814A001,부여군 규암면,36.25915,126.84262,24,충청남도 부여군 규암면 흥수로 488,2010-09-06
195,충청남도,330846A001,천안시 목천읍,36.77527,127.20721,112,충청남도 천안시 동남구 목천읍 목천안터1길 15,2013-11-19
196,충청남도,336812A001,아산시 염치읍,36.82573,126.96796,10,충남 아산시 염치읍 염치1길 40,2012-08-16
197,충청남도,340861A001,예산군 신암면,36.74209,126.81445,29,충남 예산군 신암면 종경리 281-22,2010-09-02
198,충청남도,343808A001,당진시 당진읍,36.91377,126.64968,11,충남 당진군 당진읍 구봉로 46,2010-11-10
199,충청남도,345802A001,청양군 청양읍,36.42545,126.7957,192,충청남도 청양군 청양읍 적누리 264번지,2011-01-19
200,충청남도,350808A001,홍성군 홍성읍,36.60263,126.57921,78,충청남도 홍성군 홍성읍 갈산면 동산리 843,2011-01-11
201,충청남도,355831A001,보령시 주교면,36.39115,126.56601,49,충남 보령시 주포면 주교리 422-5,2011-04-27
202,충청남도,357903A001,태안군 태안읍,36.73285,126.30477,31,충청남도 태안군 태안읍 송암로 523,2010-11-18
203,충청북도,027317F023,충주시 산척면,37.07289,128.00722,240.2,충북 충주시 산척면 명서리 831-5,2018-12-04
204,충청북도,269804A001,음성군 소이면,36.91366,127.76175,100,충북 음성군 소이면 봉전리 777,2011-04-15
205,충청북도,363844A001,청주시 남일면,36.58794,127.50645,58, 충청북도 청원군 남일면 단재로 480,2011-01-07
206,충청북도,363883B001,청원군 오창읍,36.72304,127.46507,40,충청북도 청원군 오창읍 가곡길 46,2011-01-26
207,충청북도,365803A001,진천군 진천읍,36.85385,127.42977,101,충북 진천군 진천읍 문진로 1433-6(교성리 313-3),2010-11-18
208,충청북도,370853A001,영동군 심천면,36.20687,127.71638,100,충북 영동군 심천면 약목리 282번지 실증시험포,2010-09-28
209,충청북도,373805A001,옥천군 옥천읍,36.29997,127.59653,117,충청북도 옥천군 옥천읍 옥천동이로 234,2010-12-17
210,충청북도,380959A001,충주시 달천동,36.95015,127.89728,76,충북 충주시 달천동 672-2,2010-08-19
211,충청북도,390874A001,제천시 봉양읍,37.16156,128.17668,320,충청북도 제천시 봉양읍 제천북로3길 20,2010-12-01
